228442,11
474351,3
378572,14
441030,8
538005,7
536937,5
551294,4
534116,9
65790,2
224581,12
522258,9
314106,13
508197,6
513675,1
394823,8
43030,2
369550,3
83811,10
515670,4
460994,14
185455,1
319549,6
555300,14
314239,3
492819,11
303606,2
259073,9
407566,4
436742,13
217554,12
221049,7
522352,1
569592,5
6784,4
562509,3
80940,12
18948,11
201894,8
327242,6
330827,13
449990,8
302747,13
525867,9
499389,6
130307,12
126311,7
333349,2
294650,10
305679,4
350946,3
394978,5
124226,11
555213,10
437452,7
70595,1
43522,8
445516,6
520798,13
94114,3
497366,2
69812,13
567048,2
386546,4
15746,1
38868,3
254948,7
320651,14
358444,12
303796,11
168694,9
474238,12
145745,6
372724,2
220208,4
540850,14
177848,10
479137,13
132306,9
378196,7
106346,5
245447,5
287009,13
390040,14
319439,8
536369,9
491318,12
262747,10
149563,7
321106,6
122804,2
118349,6
466185,3
103996,12
25549,8
106277,13
331763,9
274755,14
297166,10
322881,2
205319,7
477315,3
288194,7
35940,2
164238,5
438089,14
42238,13
364017,1
330305,11
245567,6
156930,4
129427,14
205825,13
80806,2
500602,5
454307,10
522354,1
215582,12
357667,9
494115,7
489024,6
346030,1
101151,2
161850,12
85286,11
133016,3
268205,13
347490,4
519817,6
30714,5
516008,7
397168,4
21310,2
519764,13
358469,6
548648,8
505613,3
285127,11
104185,9
459406,5
103265,10
109581,9
450551,2
475896,12
505867,7
89093,6
531610,4
169510,1
378911,10
213533,11
53563,14
254735,13
32401,9
343451,3
304609,2
165219,6
557026,5
385706,4
554490,12
108573,14
447303,7
404744,9
245233,12
341096,3
327832,1
62332,5
216688,4
498840,13
419373,11
213568,10
506687,14
527982,1
223720,2
271135,4
207596,5
547498,13
159925,6
123102,9
23318,10
188043,14
442556,8
550255,2
453369,6
519303,3
119352,1
577978,13
241190,7
473468,14
366281,8
68503,11
452932,5
368573,9
110370,3
568272,10
284929,12
390107,14
397089,1
507331,11
574856,2
580399,8
467361,4
