id,name,class
0001_01,n000002,0
0002_01,n000002,0
0003_01,n000002,0
0004_01,n000002,0
0005_01,n000002,0
0006_01,n000002,0
0007_01,n000002,0
0008_01,n000002,0
0009_01,n000002,0
0010_01,n000002,0
0011_01,n000002,0
0012_01,n000002,0
0013_01,n000002,0
0014_01,n000002,0
0015_01,n000002,0
0016_01,n000002,0
0017_01,n000002,0
0018_01,n000002,0
0018_02,n000002,0
0018_03,n000002,0
0018_04,n000002,0
0019_01,n000002,0
0020_01,n000002,0
0021_01,n000002,0
0022_01,n000002,0
0023_01,n000002,0
0024_01,n000002,0
0025_01,n000002,0
0026_01,n000002,0
0027_01,n000002,0
0028_01,n000002,0
0029_01,n000002,0
0030_01,n000002,0
0031_01,n000002,0
0031_02,n000002,0
0031_03,n000002,0
0031_04,n000002,0
0031_05,n000002,0
0031_06,n000002,0
0031_07,n000002,0
0031_08,n000002,0
0032_01,n000002,0
0033_01,n000002,0
0034_01,n000002,0
0035_01,n000002,0
0036_01,n000002,0
0037_01,n000002,0
0038_01,n000002,0
0039_01,n000002,0
0040_01,n000002,0
0041_01,n000002,0
0042_01,n000002,0
0043_01,n000002,0
0044_01,n000002,0
0045_01,n000002,0
0046_01,n000002,0
0048_01,n000002,0
0049_01,n000002,0
0051_01,n000002,0
0051_02,n000002,0
0052_01,n000002,0
0053_02,n000002,0
0054_01,n000002,0
0055_01,n000002,0
0056_01,n000002,0
0057_01,n000002,0
0058_01,n000002,0
0059_01,n000002,0
0060_01,n000002,0
0061_01,n000002,0
0062_01,n000002,0
0063_02,n000002,0
0064_01,n000002,0
0065_01,n000002,0
0066_01,n000002,0
0067_01,n000002,0
0068_01,n000002,0
0069_01,n000002,0
0070_01,n000002,0
0071_01,n000002,0
0072_02,n000002,0
0073_01,n000002,0
0074_01,n000002,0
0075_01,n000002,0
0076_01,n000002,0
0077_01,n000002,0
0078_01,n000002,0
0079_01,n000002,0
0080_01,n000002,0
0081_01,n000002,0
0082_01,n000002,0
0083_01,n000002,0
0083_02,n000002,0
0084_01,n000002,0
0085_01,n000002,0
0086_01,n000002,0
0087_01,n000002,0
0089_01,n000002,0
0090_01,n000002,0
0091_01,n000002,0
0092_01,n000002,0
0093_01,n000002,0
0094_01,n000002,0
0095_01,n000002,0
0096_01,n000002,0
0097_01,n000002,0
0098_01,n000002,0
0099_01,n000002,0
0100_01,n000002,0
0101_01,n000002,0
0102_01,n000002,0
0102_02,n000002,0
0103_01,n000002,0
0104_02,n000002,0
0105_01,n000002,0
0106_01,n000002,0
0107_01,n000002,0
0108_01,n000002,0
0109_01,n000002,0
0110_03,n000002,0
0111_01,n000002,0
0112_01,n000002,0
0114_01,n000002,0
0115_01,n000002,0
0116_01,n000002,0
0117_01,n000002,0
0118_02,n000002,0
0119_01,n000002,0
0120_01,n000002,0
0121_01,n000002,0
0122_01,n000002,0
0123_01,n000002,0
0124_01,n000002,0
0125_01,n000002,0
0126_01,n000002,0
0128_01,n000002,0
0129_01,n000002,0
0130_01,n000002,0
0131_01,n000002,0
0132_01,n000002,0
0133_02,n000002,0
0134_01,n000002,0
0135_01,n000002,0
0136_01,n000002,0
0137_01,n000002,0
0138_01,n000002,0
0139_01,n000002,0
0140_01,n000002,0
0141_01,n000002,0
0142_01,n000002,0
0143_01,n000002,0
0144_01,n000002,0
0145_01,n000002,0
0146_01,n000002,0
0147_01,n000002,0
0148_01,n000002,0
0149_01,n000002,0
0150_01,n000002,0
0150_02,n000002,0
0150_03,n000002,0
0152_01,n000002,0
0152_02,n000002,0
0153_01,n000002,0
0154_01,n000002,0
0155_01,n000002,0
0156_01,n000002,0
