555506,788,177860 13976 14619 25247 13578 177860 13976 14619
295314,1011,329217 92321 169143 232927
553516,4816,119345 382905 459694 319708
384588,2929,4255 134743 408537
367058,4246,223574 19204 458669
236545,5189,389450 87849
453242,2011,22410 416037 28742 334766 305402
458106,766,425982 47284 289074 462147 270247 468723
468036,4506,439565 214333 15919 375022 216325 333129 370308
208148,4436,367678 5119 116221
160416,3558,319289 278797
572693,77,73028 329781 314133
412333,2065,290633 20965 109963 326207 216325 370925 116344
403890,5624,277607 356973 350013 29866 86924 29002 13679
527675,5127,245021 358028 368042 250505 371634
284541,2939,32456 119692 26459
672,5262,414968 320571 15919
77487,746,293545 19669 49
139978,1527,114344 407254
188018,5749,265631 357916
377474,4257,350204 51449 170410
71586,1965,282866 334766 395350 332206
64238,4374,109427 302525
500769,4698,39462 387253
281029,445,289312 15919 15817 324871 369889 216325
411826,2359,289428 327383 15919 18183 19249
558222,2829,131301 17155 21077 261101 372974 61710
471691,717,96378 341607
450820,1749,163908 441163 425982
578670,76,3820 600270
295670,5968,16446 13235 19252
172327,5218,307131 278593
226573,1582,434038 192721 308192 390615
307938,3664,380222 99970 357817 342061
253039,4407,24797 322388 40229 116344 375022
557820,5041,49321 82759 275914
349551,4982,15923 15934 23637
242731,4341,96074 393019 462147 261982
454227,1766,425224 201775 349077 291197
350064,3241,322468 320731 307131
270319,2574,40229 15919 18991 216325 370925 82400
229695,3671,454076 20965 15919 441899
305823,4614,378107 413501 21681
372481,4375,348726 15919 320731 442310 29002
474469,3813,210736 150517 299592 232402 3979
156687,3260,201234 317349 905
534315,634,91749 120 237756 216326 20180 273799
573643,5747,427419 33 35289 275539 207805
283877,3313,314415 329354
417566,375,301112 277016 28879
479655,3603,406346 98815
416490,213,307959 96168 322711
91997,5212,411972 462079 202361
456906,4065,425982 439081 437117 356895 216325
569778,5320,497003 315891
570987,3431,104 297411 414968
544705,2321,282282 3540 257164
471935,3793,397285 367001 455534 325335 299733 390615
135550,1952,375022 327383 15919
150435,3669,511741 125213
239502,5532,16095 25196 36202
272682,1586,24971 14892 452865 89574 20328
159534,3687,12002 395365 407012 324396 409629 323341
370766,1663,343714 431115 217297 273081
45063,4293,116221 40353 281853 467503 195506
355084,565,331467 321751 363655
573151,4015,427205 304526
566578,3127,34787 289606
237352,4589,360540 111794
437843,4933,286741 324875 15919 280790
420253,4959,302497 191339 22769
21450,4697,324980 367054
184966,2768,18959 297784
334197,5493,370925 320571 15919 21192 3444
189660,3503,290633 419561 39 33 326298 430330
228104,4071,185562 354420 433461 333559
32394,3488,329769 216325 370925 15919 18991
225872,5697,420500 39820 377692 317384 26355
223074,4953,467521 343604
528164,3410,13079 15919 79366 86924 284928
580966,5276,243616 48 127 217564
529196,4541,89574 438698 432693
400934,4407,174704 425982 377692 277016
255023,4680,82400 294039 15919 114315 76954 453437
136827,3571,425982 327383
181726,3019,221491 324980
333236,4639,369355 15919 292964 216326 370925 21192 116344 432532
460095,5866,430330 448697 216326 370925 375117 327383 39 33 43 16708 336604 436026
479438,4748,409625 129240
208065,1596,183399 4530 287591
27236,577,350441 398636 15919
421456,4516,340939 277016 15919 23274 370308
380954,2979,78827 337852
561157,4817,138658 214333 15919 439565
533659,5551,85519 320571 370696 350204 409629
429007,5189,326978 108061
33481,408,357924 442555
175092,4629,385427 15919 15817 400498
110672,3400,402399 14386
141915,5527,138658 112224 15919 216326 370925 432532 116344
245441,2798,15839 100288
484972,561,214333 15919 439565 286652
522782,2922,6740 396381 259002
363134,779,16599 368032
438736,4042,456848 22466 109367
101283,4118,12002 901 140
361453,5074,138922 326430 453914
365757,5928,16599 27040 19646 22409
482960,5527,416180 104814 334766 93804
376839,1302,17637 42618 579555 296092 305499 116344 453222 29562 319708 388994 373428 29562 419157 303248 357619 153916
291629,2204,164336 123259
556919,557,128089 443697 15919 370925
557457,581,29986 352095 47267
569225,3022,3312 338865 345783 34152 17307
83257,1490,187754 384119
10584,3375,121401 15919 228696
50679,3310,320731 327383 15919 447631
142818,4234,40229 15919 333129
91611,5960,574925 231287
34725,566,281818 121559
43252,210,108848 440773
160265,2775,305690 289428 334766
241823,3675,351150 280094
511357,3030,453222 40056 15919 400498
169356,1321,369889 97929
539107,5998,386876 334766
343794,3117,322043 448659 277016 29002
133494,2268,111351 214333 15919 333559 116344 333129 94546
566309,3546,33496 17144 22773 31583
101521,1028,272612 441899
515110,3141,416409 116344
9254,5210,425982 320571
356762,2896,330720 101236
141403,875,401768 441899 20965 15919
389972,1877,20965 22466 31424 441899
8011,2668,414968 320571
326411,2253,362389 381625 301495
459704,5434,430330 109963 462147
288975,2295,141154 431421
31308,5813,292726 422994 335470
22487,204,370696 370925 327731
304856,4329,377692 15919 320571 466512
